trial,seed,noise_model,shots,raw_noisy_bits,bit_flips_vs_noiseless,exact_bitstring_survived,minimum_correlation_margin,raw_noisy_Z,repaired_noisy_Z,gap_after_repair
0,10042,FakeManilaV2,4096,10000000,1,False,0.001953125,1057458.2332307692,1080634.4707307692,0.0
1,10043,FakeManilaV2,4096,10010000,0,True,0.01708984375,1080634.4707307692,1080634.4707307692,0.0
2,10044,FakeManilaV2,4096,10010000,0,True,0.009765625,1080634.4707307692,1080634.4707307692,0.0
3,10045,FakeManilaV2,4096,10000000,1,False,0.00048828125,1057458.2332307692,1080634.4707307692,0.0
4,10046,FakeManilaV2,4096,10000000,1,False,0.00537109375,1057458.2332307692,1080634.4707307692,0.0
5,10047,FakeManilaV2,4096,10010000,0,True,0.02294921875,1080634.4707307692,1080634.4707307692,0.0
6,10048,FakeManilaV2,4096,10010000,0,True,0.00830078125,1080634.4707307692,1080634.4707307692,0.0
7,10049,FakeManilaV2,4096,10010000,0,True,0.01123046875,1080634.4707307692,1080634.4707307692,0.0
8,10050,FakeManilaV2,4096,10000000,1,False,0.013671875,1057458.2332307692,1080634.4707307692,0.0
9,10051,FakeManilaV2,4096,10010000,0,True,0.0107421875,1080634.4707307692,1080634.4707307692,0.0
10,10052,FakeManilaV2,4096,10000000,1,False,0.00341796875,1057458.2332307692,1080634.4707307692,0.0
11,10053,FakeManilaV2,4096,10000000,1,False,0.00634765625,1057458.2332307692,1080634.4707307692,0.0
12,10054,FakeManilaV2,4096,10000000,1,False,0.0068359375,1057458.2332307692,1080634.4707307692,0.0
13,10055,FakeManilaV2,4096,10010000,0,True,0.0361328125,1080634.4707307692,1080634.4707307692,0.0
14,10056,FakeManilaV2,4096,10000000,1,False,0.0185546875,1057458.2332307692,1080634.4707307692,0.0
15,10057,FakeManilaV2,4096,10000000,1,False,0.00927734375,1057458.2332307692,1080634.4707307692,0.0
16,10058,FakeManilaV2,4096,10000000,1,False,0.00732421875,1057458.2332307692,1080634.4707307692,0.0
17,10059,FakeManilaV2,4096,10010000,0,True,0.009765625,1080634.4707307692,1080634.4707307692,0.0
18,10060,FakeManilaV2,4096,10010000,0,True,0.00439453125,1080634.4707307692,1080634.4707307692,0.0
19,10061,FakeManilaV2,4096,10000000,1,False,0.02490234375,1057458.2332307692,1080634.4707307692,0.0
